Title,Author,ISBN,isAvailabe
Pride and Prejudice,Jane Austen,9781503290563,true
Moby Dick,Herman Melville,9781503280786,true
The Catcher in the Rye,J.D. Salinger,9780316769488,true
The Brothers Karamazov,Fyodor Dostoevsky,9780374528379,true
The Great Gatsby,F. Scott Fitzgerald,9780743273565,true
War and Peace,Leo Tolstoy,9781400079988,true
Crime and Punishment,Fyodor Dostoevsky,9780486415871,true
The Odyssey,Homer,9780140268867,true
The Hobbit,J.R.R. Tolkien,9780547928227,true
1984,George Orwell,9780451524935,true
To Kill a Mockingbird,Harper Lee,9780061120084,true
